カード名,型番,画像ファイル名,フレーバー
ロスト・Re:ソウル,DM26SD1 8/13,005_003_01_ロスト・Re_ソウル.jpg,ザーディクリカから最も唱えたいのはこのカード！ドラゴンズ・サインを使えば最速４ターン目に相手の手札をゼロにできるぞ!!
ブレイン・スラッシュ,DM26SD1 9/13,005_004_01_ブレイン・スラッシュ.jpg,ザーディクリカからこいつを使えば、さらに切り札を呼び出せるぞ！
漢気の2号 ボスカツ,DM26SD1 10/13,005_005_01_漢気の2号 ボスカツ.jpg,ザーディクリカやドルファディロムですら5マナで踏み倒せる！複数の多色カードを手札に持ってれば、相手の手札の文明とマッチする可能性アップだ！
天災 デドダム,DM26SD1 11/13,005_006_01_天災 デドダム.jpg,復活させたいカードを墓地に置きつつ、水文明と闇文明の両方を持っているこいつこそが、ブレイン・スラッシュ最高の相方だ!!
ドンドン火噴くナウ,DM26SD1 12/13,005_007_01_ドンドン火噴くナウ.jpg,S・トリガーは守りの要！こいつはそれだけじゃなく逆転のカードを手札に加えつつ、マナ加速で勝利を呼び込むぞ！
好詠音愛 クロカミ,DM26SD1 7/13,005_008_01_好詠音愛 クロカミ.jpg,新世壊が引けてない時はこいつに頼れ！魔導具呪文連打で相手の攻撃を止めて、新世壊を引くまでの時間を稼ぐのだ!!
単騎連射 マグナム,DM26SD1 11/13,005_013_01_単騎連射 マグナム.jpg,瞬閃と疾駆と双撃の決断でカラクリバーシやカクメイジンをアンタップするついでに出せたらラッキー！S・トリガークリーチャーでの逆転を狙い撃ちだ！
光開の精霊サイフォゲート,DM26SD1 7/13,005_015_01_光開の精霊サイフォゲート.jpg,踏み倒しは召喚じゃないからミカドレオの召喚時能力が発動しないのには注意！
ヘブンズ・ゲート,DM26SD1 8/13,005_016_01_ヘブンズ・ゲート.jpg,色々な方法で大型ブロッカーを踏み倒しまくるのがこのデッキの王道ムーブ。S・トリガーでブロッカーを踏み倒すカードもたくさんある最強の守りデッキだ。守りながらミカドレオのエクストラウィンを狙え！
終止の時計 ザ・ミュート,DM26SD1 7/12,005_021_01_終止の時計 ザ・ミュート.jpg,S・トリガーは防御の要！だけど自分のターンに召喚しても頼れるヤツだ！
ブレイン・スラッシュ,DM26SD1 8/12,005_022_01_ブレイン・スラッシュ.jpg,必要な文明はクリーチャーでもタマシードでも、もちろん両方でもOKだぞ！
ヘルトッQ,DM26SD1 9/12,005_026_01_ヘルトッQ.jpg,チェンジできるのはタッ太だけじゃない！ヘルトッQならコンボパーツを探しながらチェンジもできちゃうぞ！
グレイト“Ｓ-駆”,DM26SD1 5/12,005_037_01_グレイト“Ｓ-駆”.jpg,こいつを出すなら手札が無くなる後半に！Ｇ・Ｇ・Ｇが発動してないと手札に戻ってきちゃって無駄になるぞ。
極楽鳥,DM26SD1 7/12,005_039_01_極楽鳥.jpg,デュエマで飛行を持つクリーチャーは数少ない！シールドはブレイクできないが、ブロックされにくいダイレクトアタック要員としても活躍するのを忘れずに!!
終末の時計 ザ・クロック,DM26SD1 7/12,005_040_01_終末の時計 ザ・クロック.jpg,シールドにS・トリガーがあることを信じて、防御を気にせず相手に攻撃しまくろう！
光鎧龍ホーリーグレイス,DM26SD1 8/11,005_043_01_光鎧龍ホーリーグレイス.jpg,S・トリガーは防御の要！そして、次のターンにこいつを革命チェンジだ!!
ジョーカーズの心絵,DM26SD1 6/11,005_044_01_ジョーカーズの心絵.jpg,このデッキの最強タマシードはこれ！シールドを増やしまくって相手の攻撃を防げるだけじゃなく、MAX・ザ・ジョニーの特殊勝利も目指せるぞ！
AQ NETWORK,DM26SD1 8/11,005_046_01_AQ NETWORK.jpg,S-MAX進化はプレイヤーから進化する、進化元不要の超切り札なのだ!!
コーライルの海幻,DM26SD1 9/11,005_047_01_コーライルの海幻.jpg,呪文やクリーチャーを封じられても、タマシードのS・トリガーなら逆転のチャンスあり!!
進化設計図,DM26SD1 6/11,005_048_01_進化設計図.jpg,究極進化するためにはとにかく大量の進化クリーチャーが手札に必要。このカードで進化クリーチャーを大量ゲットだ！
逆転の剣スカイソード,DM26SD1 6/10,005_049_01_逆転の剣スカイソード.jpg,ガチンコ・ジャッジはコストが重要！ちなみにツインパクトがめくれた時は、コストの大きな方を選んで比べることができるぞ!!さらに！Q.Q.QX.がいればガチンコ・ジャッジには絶対勝てるぞ!!
セイレーン・コンチェルト,DM26SD1 11/14,006_001_01_セイレーン・コンチェルト.jpg,追加ターンにゴスペルを出したいなら、革命チェンジが強い味方だ！手札に戻ったゴスペルを出しなおすだけで、お手軽に追加ターンゲットだ！
勇愛の天秤,DM26SD1 12/14,006_002_01_勇愛の天秤.jpg,ゴスペルを出した時にキリモミ・ヤマアラシを回収しておこう！追加ターンにふたたびスピードアタッカーのゴスペルを出せれば、さらなる追加ターンがゲットできるぞ。
バーニング・フィンガー,DM26SD1 13/14,006_003_01_バーニング・フィンガー.jpg,墓地を増やす呪文を連打して、ゴスペルのコストを下げまくれ！そして、キリモミ・ヤマアラシでスピードアタッカーとなったゴスペルで切り札呪文を踏み倒すのがこのデッキの王道ムーブだ!!
アシステスト・シネラリア,DM26SD1 11/14,006_005_01_アシステスト・シネラリア.jpg,シネラリアや同期の妖精は切り札を守れるだけじゃない！序盤は妨害クリーチャーを守って時間を稼いでくれるのだ!!
キャディ・ビートル,DM26SD1 12/14,006_006_01_キャディ・ビートル.jpg,このデッキの王道コンビはアカネとゴルファンタジスタ！革命チェンジやハイパーエナジーですばやくアカネを出したらゴルファンタジスタへの革命チェンジを狙え！
とこしえの超人,DM26SD1 13/14,006_007_01_とこしえの超人.jpg,巨大ジャイアントが出るまでの時間を稼ぐのがとこしえの超人やキャディの役割。相手がやりたいことを妨害して、その隙にゴルファンタジスタで制圧するのだ！
ヴェネラック-F5,DM26SD1 11/14,006_008_01_ヴェネラック-F5.jpg,相手にズルさせず、こちらだけズルするのがシノビの極意。相手の踏み倒しは許さず、こちらだけ革命チェンジやニンジャ・チェンジで有利になろう。
アシステスト・アルデッド,DM26SD1 12/14,006_009_01_アシステスト・アルデッド.jpg,ニンジャ・チェンジに必要なのは５マナのメカ！色々な方法を駆使して５マナのメカをバトルゾーンに用意すればシノビの時間の始まりだ。
堕呪 エアヴォ,DM26SD1 8/13,006_010_01_堕呪 エアヴォ.jpg,S・トリガーは防御の要！相手のまだ攻撃していないクリーチャーを手札に戻して、次のターンに逆転だ!!
異端流し オニカマス,DM26SD1 9/12,006_013_01_異端流し オニカマス.jpg,革命チェンジや呪文での踏み倒しなどの相手のインチキは許さない！選ばれないからとりあえず出しちゃっても大丈夫だ!!
特攻人形ジェニー,DM26SD1 10/12,006_014_01_特攻人形ジェニー.jpg,手札を捨てさせる能力を持ったクリーチャーをメアリー・ジェニーや絶望と反魂と滅殺の決断で何度も使い回して手札破壊をし続けるのがこのデッキの王道ムーブ！相手の選択肢をゼロにしよう!!
カレイコの黒像,DM26SD1 11/12,006_015_01_カレイコの黒像.jpg,マナ加速やメクレイド、ヨビニオンなどをまとめて封じられる強力な妨害カードだ！
我ら、モモダチ三人衆!!!,DM26SD1 3/12,006_016_01_我ら、モモダチ三人衆!!!.jpg,このデッキの王道はチキン・タッ太、旅路、G3の3枚コンボ！タッ太を旅路に革命チェンジしてからG3を捨てればG・ブレイク発動！自分のS・トリガーでアタックできるクリーチャーを出して一撃必殺の最強コンボ完成だ!!
我ら、モモダチ三人衆!!!,DM26SD1 3F/12,006_017_01_我ら、モモダチ三人衆!!!.jpg,マナ加速して、ドローやコンボパーツのジョーカーズに繋げ！
我ら、モモダチ三人衆!!!,DM26SD1 3㊙/12,006_018_01_我ら、モモダチ三人衆!!!.jpg,モモダチ三人揃えば不可能は無し！
モモダチ モンキッド,DM26SD1 11/12,006_020_01_モモダチ モンキッド.jpg,G・ブレイクは相手のS・トリガーの能力が全部終わってから自分のシールドのブレイクが始まるぞ！つまり、自分のS・トリガーで出したクリーチャーは相手のS・トリガーに巻き込まれないのだ!!
デスマッチ・ビートル,DM26SD1 9/12,006_021_01_デスマッチ・ビートル.jpg,このデッキで気を付けないといけないのはジークの能力が強制であること！調子に乗って12000を出しすぎて自分の山札がゼロにならないように注意！
ジャンボ・ラパダイス,DM26SD1 10/12,006_022_01_ジャンボ・ラパダイス.jpg,12000専用の手札補充呪文がこれ！このデッキのほとんどがパワー12000以上だから２マナで４枚だって夢じゃない!!
天雷龍姫エリザベス / インビンシブル・フォートレス,DM26SD1 9/12,006_024_01_天雷龍姫エリザベス _ インビンシブル・フォートレス.jpg,清永でめくれた時、ツインパクトは好きな方のコストとしてチェックできるから踏み倒し率が超アップだ！
ベイB セガーレ,DM26SD1 10/12,006_028_01_ベイB セガーレ.jpg,とにかく手札をドンドン使っていって、最後には手札がないと強くなるG・G・Gでゲームを決めるのがこのデッキの王道ムーブだ！
とこしえの超人,DM26SD1 11/12,006_029_01_とこしえの超人.jpg,１マナのカードだけじゃなく、マナをアンタップしたり、自分でマナを生み出せるカードも手札を減らすのに大活躍だ！
龍装者 バルチュリス,DM26SD1 10/12,006_030_01_龍装者 バルチュリス.jpg,２回目の攻撃時にこいつが手札にあったら相手に見せよう。でもその段階ではバトルゾーンには出ていない！相手がS・トリガーを使い終わったあとにバトルゾーンに出るから確実に攻撃できるのだ。
異端流し オニカマス,DM26SD1 11/12,006_031_01_異端流し オニカマス.jpg,オニカマスやジャストダイバーのように相手に選ばれないクリーチャーは相手のS・トリガーを喰らいにくいからできるだけ後から攻撃しよう。
影速 ザ・トリッパー,DM26SD1 12/12,006_032_01_影速 ザ・トリッパー.jpg,侵略はコマンドの攻撃時に切り札の進化クリーチャーをタダでのせられる能力！レッドゾーンやブラックゾーンなどを最速で出して、相手を置き去りにするのだ!!
GENJI・ハイパーXX,DM26SD1 9/11,006_033_01_GENJI・ハイパーXX.jpg,５コストのドラゴンから７コストのボルシャックに革命チェンジ！そしてそこからバクテラスに革命チェンジしてアーマードを大量展開するのがこのデッキの王道ムーブだ！
ゲラッチョの心絵,DM26SD1 10/11,006_034_01_ゲラッチョの心絵.jpg,シンカライズを持つタマシードの上には進化クリーチャーを乗せられるぞ！
